0 98 269 258 15 127 359 329 108
1 45 271 286 325 7 23 48 134
2 286 311 243 7 175 119 151 292
3 359 329 8 178 77 312 316 384
4 178 77 313 222 64 144 172 132
5 25 14 22 64 65 153 11 46
6 318 14 48 57 215 230 85 382
7 11 191 48 113 84 157 196 53
8 191 324 359 329 178 153 46 286
9 191 43 44 150 63 187 196 144
10 313 302 197 316 331 14 23 32
11 316 100 172 48 23 25 292 119
12 51 137 97 11 65 298 378 197
13 14 25 48 382 265 324 195 253
14 215 150 32 174 258 1 23 113
15 28 150 22 195 243 382 316 92
16 11 172 197 64 51 286 84 196
17 1 215 292 175 151 119 170 276
18 197 257 94 3 215 242 324 108
19 258 100 43 108 324 172 56 144
20 64 176 107 5 343 271 187 51
21 172 11 195 23 137 230 242 53
22 64 132 239 172 1 170 113 253
23 65 44 1 64 191 23 170 359
24 211 191 127 64 144 329 359 302
25 100 195 180 168 61 23 63 298
26 302 170 324 292 119 150 1 197
27 354 311 77 318 178 99 246 150
28 215 151 292 119 175 170 172 278
29 1 44 311 354 174 278 246 63
30 201 183 298 325 65 97 150 191
31 8 292 100 119 151 108 311 243
32 1 197 111 201 215 324 28 150
33 150 324 92 45 222 1 329 359
34 195 23 168 313 298 329 359 150
35 302 315 286 153 14 69 23 300
36 313 150 187 147 276 28 315 302
37 331 153 43 113 14 64 21 51
38 61 77 178 286 237 382 354 311
39 57 15 237 63 31 100 278 174
40 298 191 53 157 84 316 246 178
41 14 25 23 211 313 21 195 44
42 324 23 331 9 137 298 25 14
43 44 1 28 65 387 3 94 45
44 144 11 176 21 9 278 191 44
45 170 187 150 239 324 51 10 271
46 324 172 94 3 387 77 144 359
47 243 99 147 359 329 144 172 222
48 172 107 170 51 70 191 153 197
49 195 65 97 28 10 94 3 387
50 1 100 98 222 329 359 32 175
51 44 230 215 100 178 343 222 127
52 258 211 237 78 6 172 56 11
53 170 176 197 150 132 191 329 359
54 316 64 88 315 126 243 100 180
55 172 215 21 278 48 9 64 271
56 48 144 44 23 11 25 211 298
57 8 63 23 14 324 237 157 53
58 187 265 64 271 343 258 382 195
59 191 100 7 94 3 64 170 70
60 215 230 144 211 11 324 57 12
61 316 329 359 278 312 147 276 176
62 50 324 8 64 343 222 173 186
63 265 64 168 278 271 50 343 258
64 57 276 70 191 126 132 33 201
65 144 257 56 172 173 50 51 316
66 258 10 187 272 107 5 298 98
67 64 94 187 107 272 5 99 14
68 173 64 77 187 329 359 132 33
69 100 137 22 28 195 316 378 144
70 22 195 113 65 97 201 183 134
71 215 187 170 83 1 144 378 292
72 298 178 258 195 331 265 242 84
73 157 53 191 178 246 97 298 8
74 175 176 302 180 316 311 64 98
75 28 1 253 113 9 222 26 150
76 50 170 83 315 302 359 329 324
77 100 64 22 195 172 144 271 343
78 63 64 147 57 150 324 85 354
79 311 11 99 253 113 3 94 144
80 170 258 292 119 175 174 150 1
81 3 94 387 172 144 11 196 57
82 100 41 10 197 25 48 316 201
83 144 11 239 173 78 325 65 378
84 153 11 100 94 3 387 195 187
85 258 51 12 5 107 100 325 7
86 302 237 311 315 201 183 278 108
87 98 191 157 53 84 201 48 298
88 44 246 175 7 63 237 178 77
89 64 11 265 100 1 99 170 325
90 78 211 15 195 85 31 14 25
91 22 44 43 64 258 153 173 144
92 21 51 195 286 70 191 127 64
93 51 147 327 26 23 41 271 292
94 271 28 316 250 30 197 384 130
95 111 11 178 44 1 64 239 94
96 150 11 111 119 175 292 271 288
97 11 9 46 153 23 44 242 157
98 195 153 302 41 382 113 170 6
99 108 56 172 11 174 315 302 286
100 98 151 134 197 113 187 243 147
101 113 42 173 258 195 22 187 239
102 144 132 316 312 246 11 354 311
103 44 30 239 211 195 215 23 48
104 302 63 313 359 329 278 147 276
105 100 243 23 25 311 329 359 211
106 191 215 230 318 195 70 12 57
107 50 42 108 8 270 63 243 316
108 201 50 168 312 316 100 276 196
109 132 33 174 359 329 324 85 175
110 111 8 64 312 316 99 43 180
111 316 311 50 318 178 312 270 147
112 41 15 10 83 93 144 378 311
113 311 79 178 77 48 8 69 23
114 1 276 150 174 197 215 119 292
115 144 26 1 92 44 378 126 211
116 48 153 1 271 222 11 56 64
117 195 100 180 10 70 191 64 300
118 48 144 172 230 298 25 382 174
119 1 64 151 176 180 121 33 132
120 187 64 147 180 313 318 178 10
121 23 150 65 53 191 157 84 195
122 196 157 28 15 144 21 168 180
123 172 64 318 178 144 324 100 180
124 9 137 170 64 100 298 324 21
125 172 258 276 186 170 64 3 94
126 286 100 147 276 311 151 292 119
127 302 324 77 132 33 329 359 153
