0 333 150 121 313 300 327 252
1 187 15 66 70 45 43 77
2 288 354 80 7 90 286 289
3 313 286 80 302 308 88 118
4 172 319 302 294 80 303 74
5 248 100 92 80 31 262 222
6 93 339 71 242 245 288 44
7 174 71 56 301 7 172 168
8 121 93 28 30 31 262 123
9 108 77 25 301 211 84 80
10 153 195 181 301 302 79 313
11 174 50 184 172 95 12 100
12 123 108 69 52 50 148 77
13 70 144 174 71 45 77 65
14 294 25 64 70 77 83 88
15 7 174 126 98 294 19 142
16 98 15 50 64 42 172 174
17 93 25 31 51 52 56 339
18 286 174 182 12 100 42 301
19 25 44 100 93 286 339 242
20 98 15 71 83 84 97 27
21 71 153 100 95 127 27 50
22 14 172 174 88 25 8 210
23 172 25 92 96 187 100 64
24 301 44 50 339 69 71 179
25 69 55 74 286 24 95 97
26 288 301 294 50 325 90 28
27 84 77 319 294 44 300 343
28 98 74 42 300 28 258 46
29 327 78 100 271 258 28 288
30 182 137 325 333 339 56 50
31 327 7 118 121 125 245 10
32 269 8 262 170 15 55 52
33 181 100 210 211 71 25 202
34 178 7 211 100 275 71 50
35 151 7 286 14 28 64 322
36 56 50 301 300 313 42 354
37 84 286 55 45 64 170 69
38 16 49 210 143 135 27 26
39 182 137 31 121 300 150 302
40 275 7 242 339 108 25 71
41 95 269 333 310 55 52 88
42 172 15 50 45 42 77 79
43 84 1 222 69 282 151 83
44 7 11 92 71 14 96 190
45 127 286 50 42 178 275 14
46 178 211 28 237 242 42 121
47 98 302 333 245 270 55 310
48 96 14 327 313 83 85 300
49 64 187 92 288 293 98 96
50 178 85 258 269 100 275 42
51 98 96 154 69 48 11 8
52 333 288 174 301 98 129 71
53 70 301 144 313 79 30 50
54 269 301 64 50 210 7 117
55 195 75 69 48 286 288 96
56 65 195 22 23 98 95 144
57 100 178 108 123 95 93 245
58 102 64 97 80 15 77 92
59 151 97 245 286 45 84 16
60 100 25 245 265 118 269 42
61 174 275 121 242 245 325 100
62 294 242 52 300 301 303 88
63 117 15 144 69 325 313 172
64 310 14 108 300 42 324 100
65 42 79 117 118 324 325 327
66 327 27 52 333 77 84 85
67 93 15 144 30 294 28 56
68 83 300 301 118 92 93 44
69 79 14 23 237 43 64 257
70 64 48 49 179 153 181 245
71 14 77 92 121 118 222 83
72 121 7 31 15 10 172 42
73 178 100 245 124 43 121 118
74 246 96 308 310 50 302 42
75 174 70 69 228 64 222 98
76 95 6 77 88 300 310 313
77 95 89 47 51 64 69 71
78 50 286 108 245 69 325 56
79 288 25 126 354 50 258 343
80 95 123 12 258 69 327 269
81 64 50 288 2 100 78 340
82 85 7 83 50 23 56 121
83 56 50 11 172 7 313 324
84 121 387 118 125 43 45 26
85 66 77 50 286 56 26 43
86 286 322 301 302 55 78 310
87 77 129 7 251 148 70 69
88 288 327 69 25 84 97 95
89 262 118 64 257 148 54 48
90 100 184 84 50 97 42 286
91 196 179 98 176 48 50 44
92 286 1 45 64 100 15 92
93 175 135 237 117 49 48 55
94 42 98 25 288 123 294 15
95 73 137 28 318 98 288 358
96 42 56 237 43 257 121 265
97 187 64 286 294 100 50 172
98 286 84 50 55 56 333 195
99 153 258 22 45 302 301 245
100 301 137 286 257 174 213 28
101 84 2 127 288 77 286 108
102 327 117 121 79 245 96 333
103 294 15 286 288 93 92 248
104 98 174 69 289 288 71 300
105 97 7 77 289 288 16 98
106 284 325 90 88 300 80 79
107 343 7 77 100 25 15 294
108 288 284 322 148 319 77 69
109 97 286 52 64 69 45 42
110 319 117 237 44 121 210 286
111 310 59 300 150 88 313 257
112 258 15 80 313 286 191 118
113 288 333 258 64 48 294 15
114 245 172 294 11 153 95 181
115 222 11 97 56 88 144 173
116 118 8 294 144 107 54 288
117 100 153 98 50 269 95 127
118 69 8 100 179 210 85 181
119 118 301 44 45 100 50 289
120 14 333 79 59 84 109 313
121 24 286 95 100 57 90 7
122 177 64 50 97 98 100 174
123 56 96 43 28 7 46 55
124 96 176 123 301 269 50 92
125 28 121 50 64 79 313 88
126 257 301 343 308 270 15 50
127 100 44 302 300 88 92 269
