0 327 286 50 483 66 332
1 1060 127 914 265 291 242
2 280 124 482 824 174 506
3 7 1013 32 327 269 407
4 645 269 61 423 55 171
5 32 269 7 327 887 750
6 963 242 306 50 265 1123
7 7 485 37 8 807 151
8 705 618 37 754 150 9
9 332 28 245 21 850 281
10 313 301 752 69 432 588
11 778 327 115 55 904 830
12 3 128 68 1192 56 1187
13 957 187 50 807 200 778
14 90 171 645 189 80 271
15 327 898 333 83 118 854
16 388 298 723 196 530 190
17 716 1168 1013 185 878 37
18 382 7 327 485 324 534
19 7 716 532 281 556 95
20 100 423 258 638 64 565
21 327 333 50 44 286 725
22 7 288 754 655 319 304
23 280 547 584 327 313 620
24 482 332 983 620 478 307
25 735 920 948 275 235 90
26 32 121 426 887 186 150
27 423 813 744 83 957 320
28 327 238 280 294 1168 878
29 327 423 1 211 306 114
30 185 1020 478 963 780 1123
31 7 450 750 150 80 100
32 478 258 171 963 90 698
33 21 15 246 80 952 914
34 716 211 177 482 551 1143
35 1019 31 237 175 1130 960
36 7 1013 327 716 8 37
37 478 275 920 1022 735 202
38 7 69 533 90 100 1028
39 920 9 1030 754 736 250
40 288 281 28 482 303 173
41 301 7 683 754 1128 957
42 7 556 90 288 32 479
43 506 483 346 429 705 268
44 303 173 288 313 655 506
45 678 271 546 914 228 64
46 478 185 963 920 850 735
47 114 117 346 137 1065 1013
48 211 963 725 100 242 749
49 878 281 655 303 313 853
50 144 754 618 1166 56 149
51 7 1061 326 417 56 150
52 1149 993 763 645 81 784
53 100 1020 423 878 90 209
54 289 114 137 302 1013 559
55 7 485 918 177 211 807
56 265 222 154 23 748 64
57 948 813 301 295 665 1128
58 189 1203 50 504 246 658
59 751 313 728 830 343 597
60 50 332 983 683 286 265
61 263 289 645 171 638 423
62 716 190 171 508 1030 991
63 678 80 189 323 369 844
64 196 1173 1120 1212 19 754
65 171 211 269 327 1096 645
66 678 303 532 245 131 28
67 50 478 21 172 474 332
68 807 222 1020 716 151 1143
69 294 7 172 716 37 920
70 957 778 813 707 838 830
71 258 31 1 891 184 171
72 960 388 220 750 35 450
73 81 1059 32 722 457 844
74 279 838 752 485 1128 743
75 1 90 64 663 323 891
76 100 503 189 172 698 80
77 638 683 263 333 903 1117
78 313 482 303 523 50 23
79 32 62 750 570 269 423
80 136 7 1061 728 532 173
81 114 878 327 238 429 122
82 478 1193 1207 294 4 245
83 275 250 752 423 193 64
84 154 258 90 1208 136 323
85 173 518 1174 73 763 506
86 695 181 32 151 79 960
87 813 948 278 83 490 592
88 983 428 638 1194 4 265
89 957 490 187 202 423 831
90 313 174 762 303 429 1112
91 242 211 963 532 306 21
92 313 918 327 263 211 423
93 831 426 503 1006 12 82
94 323 245 90 80 678 914
95 382 1129 750 62 647 1079
96 258 963 242 275 265 643
97 878 288 281 1049 716 140
98 50 222 154 265 136 313
99 423 301 485 813 948 957
100 7 426 100 423 838 1187
101 250 665 754 196 19 386
102 327 114 137 346 1112 747
103 180 171 8 7 1130 645
104 32 597 62 91 343 750
105 423 258 184 1073 1055 62
106 171 327 645 331 753 211
107 302 228 90 655 154 391
108 173 298 504 1098 417 229
109 327 313 302 184 333 606
110 1 1117 478 584 1003 643
111 265 1 891 23 64 963
112 288 847 391 173 1049 313
113 21 222 245 189 1208 288
114 131 879 211 818 103 1196
115 114 269 62 327 645 427
116 196 1173 530 1130 618 957
117 313 343 331 1073 547 77
118 313 302 258 209 327 878
119 678 21 288 1208 222 862
120 313 327 302 228 31 343
121 327 286 114 1013 1065 782
122 7 423 32 100 269 1229
123 1020 185 743 901 1123 37
124 327 302 289 878 531 807
125 763 215 1086 466 736 507
126 655 184 361 878 154 391
127 597 331 678 211 31 32
