0 255 298 98 128 341 112 86 35 12 177
1 180 231 74 11 316 15 81 43 238 334
2 370 323 322 78 302 93 80 319 288 118
3 276 15 10 57 89 265 195 58 252 59
4 255 63 358 313 141 134 316 312 35 90
5 21 14 187 363 48 15 120 137 75 242
6 300 15 237 231 31 129 71 347 89 124
7 325 347 82 122 3 18 277 100 260 78
8 37 343 12 128 370 313 231 78 41 154
9 235 255 300 42 112 175 109 35 23 344
10 338 78 276 121 302 313 316 2 64 26
11 2 343 56 215 172 144 90 197 318 153
12 298 347 325 31 18 137 9 63 20 200
13 137 28 170 26 114 62 187 83 354 191
14 180 62 109 230 312 48 271 343 28 307
15 180 382 56 313 370 239 98 9 211 196
16 290 189 237 154 43 95 31 292 124 199
17 290 189 370 62 44 98 48 202 334 238
18 289 31 101 150 3 122 370 313 176 121
19 75 63 134 323 32 196 177 292 199 48
20 235 231 302 313 44 154 283 14 258 155
21 101 324 341 86 131 137 316 211 177 173
22 343 150 278 78 25 30 109 313 215 90
23 290 235 31 180 343 216 130 239 364 141
24 45 15 231 173 31 74 300 30 27 96
25 235 62 141 11 338 173 322 125 64 229
26 37 370 63 231 62 78 98 229 16 202
27 290 150 370 276 364 62 134 322 323 316
28 276 62 134 74 277 317 61 2 303 56
29 325 347 271 328 210 89 83 191 354 50
30 290 382 282 3 122 302 69 238 334 94
31 302 199 292 313 99 80 202 8 110 108
32 290 173 82 150 62 177 211 196 114 312
33 237 231 276 31 322 93 15 132 148 328
34 75 260 323 316 32 13 126 358 261 286
35 338 313 141 289 182 132 210 276 13 11
36 255 343 122 3 44 316 35 322 292 199
37 255 129 78 377 276 278 313 302 269 260
38 338 231 141 31 30 272 11 289 328 64
39 235 237 148 277 200 378 322 137 313 109
40 290 45 298 98 101 370 44 131 312 316
41 235 82 378 200 316 173 62 322 292 124
42 235 269 313 302 78 148 59 299 57 89
43 31 338 125 37 170 257 9 229 132 182
44 235 101 130 216 78 173 96 272 313 317
45 290 42 137 14 283 338 7 327 333 258
46 300 237 231 31 131 62 32 292 199 71
47 75 302 272 23 14 43 199 124 292 312
48 31 343 338 216 130 123 141 285 127 257
49 282 258 307 272 43 94 186 31 242 134
50 235 63 112 341 239 323 222 32 71 292
51 235 255 78 41 35 154 268 187 325 328
52 150 276 327 289 28 9 98 137 258 272
53 298 180 1 343 150 278 98 222 307 272
54 290 313 141 10 151 302 125 85 285 127
55 235 255 82 150 18 35 258 144 325 363
56 290 45 255 100 134 41 9 137 98 35
57 290 235 3 122 231 63 168 276 215 90
58 101 260 313 16 11 141 41 307 289 187
59 37 239 11 316 312 258 196 211 97 170
60 235 15 276 313 302 187 114 64 168 94
61 63 112 4 313 31 312 316 75 43 231
62 347 325 10 74 57 299 89 305 344 26
63 249 235 327 4 112 299 57 89 59 13
64 255 150 382 271 112 358 323 74 35 109
65 151 343 176 134 41 18 174 53 348 155
66 45 235 327 377 278 239 260 325 338 86
67 290 282 189 216 130 30 272 258 43 334
68 235 255 150 189 35 43 90 325 89 347
69 231 25 272 307 23 27 196 211 202 238
70 290 300 189 364 289 272 257 37 89 11
71 37 1 78 43 170 114 229 283 109 14
72 298 98 101 131 99 316 285 11 85 15
73 235 282 249 154 2 59 57 299 268 170
74 289 235 249 300 189 97 278 176 10 93
