0 324 1
0 122 1
0 59 0
0 4 1
0 379 0
0 10 0
1 17 1
1 47 1
1 64 1
1 90 1
1 92 1
1 113 1
1 222 1
1 227 1
1 228 1
1 253 1
2 257 1
2 279 1
2 299 1
2 301 1
2 303 1
2 307 1
2 308 1
2 313 1
2 315 0
2 316 1
3 299 1
3 300 0
3 318 1
3 324 0
3 330 0
3 341 0
3 345 1
3 348 1
3 350 1
3 351 1
4 11 1
4 210 1
4 258 1
4 271 1
4 300 1
4 324 1
4 327 1
4 328 1
4 329 1
4 359 1
5 24 1
5 62 1
5 102 1
5 211 1
5 231 0
5 376 0
5 377 0
5 382 1
5 107 1
5 23 1
6 143 0
6 211 1
6 221 1
6 275 1
6 294 0
6 357 1
6 69 1
6 178 1
6 108 1
6 232 1
7 171 1
7 200 1
7 378 1
7 151 1
7 272 0
7 43 1
7 54 1
7 123 1
7 144 1
7 262 1
8 7 1
8 56 1
8 144 1
8 172 1
8 190 1
8 301 1
8 11 1
8 8 1
8 85 1
8 186 1
9 50 1
9 201 1
9 242 1
9 276 1
9 294 1
9 71 1
9 2 1
9 183 1
9 15 1
9 290 0
10 48 1
10 203 1
10 289 1
10 321 1
10 340 1
10 63 1
10 89 1
10 105 1
10 55 1
10 257 1
11 190 1
11 230 1
11 312 1
11 317 0
11 61 0
11 160 1
11 14 1
11 20 0
11 41 1
11 46 1
12 15 1
12 28 1
12 71 1
12 157 1
12 191 1
12 196 1
12 276 1
12 84 1
12 53 1
12 54 1
13 229 1
13 18 0
13 98 1
13 80 0
13 9 1
13 23 1
13 58 0
13 64 1
13 92 1
13 101 0
14 56 1
14 93 1
14 100 1
14 151 1
14 175 1
14 313 0
14 55 1
14 14 1
14 119 1
14 292 1
15 20 1
15 137 1
15 278 0
15 289 1
15 301 1
15 8 0
15 120 1
15 96 0
15 42 0
15 24 1
16 56 1
16 70 1
16 92 1
16 144 1
16 155 1
16 168 1
16 191 1
16 71 1
16 104 1
16 94 1
17 7 1
17 100 1
17 126 1
17 137 1
17 150 1
17 286 1
17 294 1
17 323 0
17 71 0
17 19 1
18 58 1
18 154 1
18 196 1
18 199 1
18 387 1
18 44 1
18 6 1
18 67 1
18 83 1
18 95 1
19 8 1
19 202 1
19 210 1
19 211 1
19 268 0
19 288 1
19 294 1
19 319 1
19 325 1
19 87 1
20 1 1
20 69 0
20 95 1
20 121 1
20 144 0
20 252 1
20 168 1
20 297 1
20 42 1
20 31 0
21 98 1
21 184 1
21 298 1
21 299 0
21 57 0
21 59 0
21 196 1
21 42 1
21 89 0
21 28 1
22 96 1
22 173 1
22 186 1
22 227 1
22 294 0
22 399 1
22 33 1
22 56 0
22 87 0
22 180 0
23 83 1
23 88 1
23 90 0
23 183 1
23 213 1
23 215 0
23 43 1
23 11 1
23 56 1
23 28 1
24 25 1
24 56 1
24 178 1
24 258 1
24 275 1
24 286 1
24 294 1
24 318 1
24 77 1
24 108 1
25 127 1
25 174 1
25 269 1
25 45 1
25 77 1
25 278 1
25 80 1
25 98 1
25 72 1
25 142 1
26 7 1
26 9 1
26 100 1
26 257 1
26 269 1
26 286 1
26 321 1
26 343 1
26 8 1
26 64 0
27 50 1
27 100 1
27 118 1
27 148 1
27 244 1
27 286 1
27 295 1
27 325 0
27 5 1
27 15 1
28 12 1
28 50 1
28 100 1
28 153 1
28 174 1
28 184 1
28 282 1
28 41 0
28 80 1
28 95 1
29 259 1
29 269 1
29 270 1
29 286 1
29 294 1
29 300 1
29 302 1
29 343 1
29 80 1
29 74 1
30 7 1
30 28 1
30 231 0
30 242 1
30 258 1
30 294 1
30 301 1
30 31 1
30 58 1
30 113 1
31 32 1
31 79 1
31 124 1
31 175 1
31 268 1
31 319 1
31 340 1
31 49 1
31 14 1
31 75 1
32 100 1
32 118 1
32 122 0
32 235 1
32 245 0
32 257 1
32 259 0
32 2 1
32 66 1
32 16 0
33 245 1
33 260 1
33 271 1
33 294 1
33 323 1
33 339 1
33 348 1
33 78 1
33 182 1
33 179 1
34 288 0
34 289 0
34 292 1
34 294 0
34 324 1
34 98 1
34 199 1
34 90 1
34 191 1
34 124 1
35 258 0
35 327 1
35 328 1
35 333 1
35 358 0
35 78 1
35 48 1
35 86 0
35 279 1
35 37 1
36 261 1
36 288 1
36 289 0
36 310 1
36 333 1
36 358 1
36 73 1
36 85 1
36 88 1
36 126 1
37 11 1
37 22 1
37 24 1
37 161 1
37 176 1
37 195 1
37 265 1
37 363 1
37 97 1
37 48 1
38 122 0
38 216 1
38 318 1
38 384 1
38 3 0
38 123 1
38 58 0
38 62 1
38 88 0
38 130 1
39 269 1
39 270 1
39 272 0
39 288 1
39 294 1
39 301 1
39 307 0
39 339 1
39 78 1
39 93 1
40 245 1
40 269 0
40 286 0
40 294 1
40 305 1
40 337 1
40 347 0
40 75 1
40 89 0
40 196 1
41 1 1
41 69 1
41 100 1
41 153 1
41 174 1
41 181 1
41 209 1
41 289 0
41 43 0
41 51 1
42 69 1
42 98 1
42 176 1
42 185 1
42 195 1
42 60 1
42 84 1
42 65 1
42 93 0
42 141 1
43 26 1
43 52 1
43 64 1
43 66 1
43 114 1
43 284 1
43 53 1
43 63 0
43 20 0
43 157 0
44 56 0
44 95 1
44 120 1
44 123 1
44 174 1
44 208 1
44 230 0
44 250 1
44 30 1
44 66 0
45 1 1
45 15 1
45 21 1
45 100 1
45 108 1
45 237 1
45 276 1
45 83 1
45 52 1
45 160 1
46 7 1
46 50 1
46 100 1
46 125 1
46 245 1
46 294 0
46 327 1
46 38 1
46 99 1
46 124 1
47 258 1
47 269 1
47 288 0
47 289 1
47 301 1
47 303 1
47 307 1
47 322 0
47 327 1
47 74 1
